instance_name,weight,roughness
sponge_1_2,0.005,0.3336130310361489
paper_box_9_5,0.674,0.2093117489848669
plastic_box_8_6,0.092,0.2905938002669181
book_3_10,1.043,0.2791707233438411
sponge_4_1,0.003,0.5419014925746104
tray_7_2,0.022,0.2419014925746104
book_10_4,0.501,0.2649463643694819
metal_box_6_7,0.152,0.2849720053951231
bowl_1_2,0.264,0.2535617489848668
paper_box_8_8,0.02,0.1532668771899951
sponge_6_5,0.008,0.3519655951387131
sponge_8_1,0.008,0.4214079028310208
plastic_box_10_9,0.026,0.2733309797540978
cup_4_7,0.13,0.2497284156515335
sponge_9_2,0.013,0.4020938002669182
sponge_4_2,0.003,0.6598950823181999
plastic_box_3_8,0.101,0.2144591848823026
ball_2_5,0.058,0.1077091848823026
tray_2_1,0.554,0.2660232874464054
bowl_1_8,0.264,0.2114463643694822
bowl_6_9,0.05,0.2661450823182001
to_go_cup_7_6,0.032,0.2365489284720464
cup_4_1,0.13,0.2284463643694822
plastic_box_8_3,0.092,0.2741963643694824
metal_box_7_4,0.076,0.247241236164354
book_4_1,0.612,0.2559527746258926
ball_10_3,0.033,0.09553610795922582
plastic_box_7_5,0.109,0.2401835438566616
to_go_cup_8_5,0.03,0.2646514925746105
cup_3_9,0.099,0.2246514925746105
bowl_8_2,0.244,0.1993438002669182
plastic_box_8_5,0.092,0.2722604669335847
cup_10_6,0.058,0.2304271336002515
ball_5_7,0.059,0.1134720053951233
cup_2_10,0.201,0.3359335438566617
plate_4_2,0.343,0.2264079028310205
metal_box_3_2,0.146,0.2490232874464053
book_3_5,1.043,0.2771386720617899
plate_1_9,0.17,0.201215595138713
plate_1_1,0.17,0.2676707233438412
ball_10_6,0.033,0.1007027746258924
plate_7_5,0.019,0.4232796977028156
plastic_box_10_3,0.026,0.2749335438566619
book_2_2,0.617,0.227766877189995
sponge_8_2,0.008,0.3877861079592259
plastic_box_1_8,0.048,0.2887796977028158
ball_9_1,0.012,0.1107027746258924
sponge_9_7,0.013,0.4346835438566616
sponge_9_9,0.013,0.4215104669335847
book_8_5,0.317,0.2726450823182003
sponge_7_1,0.011,0.2638950823182004
plastic_box_3_3,0.101,0.2200938002669182
plastic_box_7_8,0.109,0.2447412361643538
book_10_6,0.501,0.287542518215636
plastic_box_5_2,0.022,0.2626963643694822
sponge_7_5,0.011,0.2707540566771746
plate_3_9,0.656,0.2118822618053796
ball_1_7,0.096,0.1274591848823029
cup_8_8,0.166,0.2682348259079437
paper_box_1_8,0.011,0.2798822618053796
tray_1_10,0.446,0.2960040566771745
metal_box_3_3,0.146,0.2758758515489695
plastic_box_2_10,0.012,0.2631066207797387
paper_box_7_7,0.044,0.2954976464207645
paper_box_8_3,0.02,0.1545745694976874
plastic_box_7_3,0.109,0.2377796977028156
metal_box_6_8,0.152,0.2894591848823028
plastic_box_2_7,0.012,0.2720681592412771
to_go_cup_3_2,0.046,0.2339079028310206
ball_10_10,0.033,0.09308097975409758
bowl_3_5,0.222,0.1938245694976874
bowl_2_4,0.343,0.2246130310361486
book_1_8,0.589,0.2467604669335849
tray_5_4,0.167,0.2258502105233283
book_3_8,1.043,0.289164313087431
paper_box_5_1,0.017,0.2375425182156358
paper_box_4_10,0.044,0.271696364369482
sponge_1_8,0.005,0.3555809797540976
bowl_2_1,0.343,0.2741771336002514
sponge_7_6,0.011,0.2855617489848669
to_go_cup_1_6,0.013,0.2780809797540977
book_8_6,0.317,0.2422220053951231
tray_4_10,0.168,0.220991236164354
bowl_8_4,0.244,0.2203245694976874
paper_box_6_8,0.015,0.2372732874464053
book_8_8,0.317,0.2676066207797387
paper_box_7_1,0.044,0.2878245694976875
book_10_2,0.501,0.2683245694976875
metal_box_1_5,0.041,0.2166386720617898
bowl_5_10,0.035,0.2748181592412771
sponge_2_1,0.012,0.4453502105233282
metal_box_7_5,0.076,0.2324014925746104
cup_7_4,0.239,0.1994079028310208
metal_box_5_3,0.232,0.2143117489848666
tray_3_2,0.489,0.2754463643694822
plate_8_8,0.543,0.2519655951387129
cup_6_3,0.302,0.2296579028310207
paper_box_10_8,0.02,0.2541258515489697
book_6_2,0.896,0.2292861079592258
plastic_box_9_7,0.072,0.2783630310361488
plate_2_3,0.331,0.2305553387284568
ball_3_5,0.05,0.2012540566771746
to_go_cup_1_5,0.013,0.2823950823182001
cup_9_6,0.324,0.2290745694976873
to_go_cup_8_6,0.03,0.2600296977028158
cup_9_4,0.324,0.2270489284720462
paper_box_10_7,0.02,0.2449527746258924
plastic_box_1_3,0.048,0.2807668771899951
bowl_6_4,0.05,0.2660809797540978
ball_5_6,0.059,0.0999848259079439
ball_5_4,0.059,0.1071258515489692
cup_2_5,0.201,0.2993053387284567
tray_3_5,0.489,0.2863053387284566
bowl_9_6,0.548,0.2167540566771745
metal_box_3_5,0.146,0.2524784156515334
sponge_3_10,0.007,0.5490361079592259
paper_box_10_10,0.02,0.2586899541130719
tray_6_4,0.312,0.3762412361643538
ball_6_6,0.058,0.1238245694976875
bowl_3_7,0.222,0.2240361079592257
plastic_box_4_2,0.026,0.2143694412925591
