instance_name,length,width,hollowness
plastic_box_7_9,0.8028550856935468,0.8583373252434957,1,0
to_go_cup_1_10,0.6091355356489495,0.6075614276226311,1,0.8967203443068543
tray_2_2,0.9954802916480353,1,0.1017252529196574,0
paper_box_6_7,0.5504998652370285,1,0.2513470442310706,0
tray_9_10,0.5858221058960721,1,0.1282504780355589,0
ball_5_4,0.6287034163131763,1,0.8518581188194813,0
to_go_cup_3_5,0.8665005315259829,0.8011602611594418,1,0.922166257970079
sponge_1_10,0.6805888864790417,1,0.2425771452931066,0
plate_1_1,0.947781289824173,1,0.1203808949280542,0.8366207413276817
tray_7_7,0.5670169670186964,1,0.08348074609471585,0
metal_box_7_3,0.7780899142419296,0.6809808040526316,1,0
to_go_cup_3_3,0.8671989580203268,0.7957008423256594,1,0.9228157726703303
tray_10_1,0.6224271349811842,1,0.09489424757808637,0
to_go_cup_2_6,0.7737061183927623,0.7995067681037671,1,0.8868707507024283
ball_9_3,0.7595062732390706,1,0.9722185807384903,0
bowl_9_3,1,0.9992405405148795,0.6129301696045304,0.9329300127447683
plastic_box_6_9,1,0.9581613502860981,0.3894290264362884,0
paper_box_10_3,0.9043530973245885,1,0.5053829838671589,0
to_go_cup_3_10,0.8658329413021567,0.7944474498449303,1,0.9229373537030752
plastic_box_3_2,0.3979136370995383,0.7051805037254724,1,0
metal_box_2_4,0.9382853251884313,1,0.704023876698389,0
book_10_9,0.7408583573472385,1,0.2534424496915039,0
tray_7_5,0.5760778655504336,1,0.0799058073389205,0
sponge_1_4,0.647178640242224,1,0.2338236706162503,0
book_4_9,0.7556065622893101,1,0.1105642370214997,0.4472305966487219
plate_3_6,0.9766560131665699,1,0.1012125487812323,0.7465409267204058
metal_box_5_10,1,0.7683953467895873,0.3793900055086281,0
plate_8_9,0.9609864239910713,1,0.2053485782961978,0.8769776091842517
plate_7_1,1,0.982530445163389,0.1009227602918864,0.6907727257300781
bowl_8_1,0.9737430749755528,1,0.4359780825119822,0.9143358740451751
paper_box_1_8,1,0.7763464585741024,0.2618452694188108,0
paper_box_7_6,0.5445324588079477,1,0.1193642311948543,0
metal_box_4_1,0.9722802938308402,1,0.3970395410158047,0
to_go_cup_1_1,0.6118151352432702,0.624802865775166,1,0.8980821491596618
paper_box_1_2,1,0.7876218350018187,0.2626512786448216,0
bowl_8_2,0.9813271861488521,1,0.4360213302170346,0.9143358740451751
cup_9_5,0.6945017719199116,1,0.7791716500585985,0.8909818656708436
plastic_box_8_7,0.7161455653388548,1,0.3816451482108088,0
cup_4_8,0.556698053796127,0.673869336692059,1,0
paper_box_2_9,0.2543565515627463,0.6728240678693472,1,0
bowl_10_3,0.9267475779171925,1,0.5024089708698439,0.6975792002496681
tray_8_6,0.9768311346467651,1,0.1169535407968627,0
book_4_8,0.7557457313561615,1,0.09218096546296244,0
bowl_8_6,0.9742568637841468,1,0.4290005880237333,0.9128966517455529
