instance_name,rigidity
metal_box_4_10,0.1263905931480602
book_9_4,0.3598575851557637
cup_4_2,0.0717792898198375
cup_7_4,0.05486866761834581
ball_3_4,0.3179698218123455
to_go_cup_7_3,0.048426589693761
bowl_9_2,0.07256790128019774
to_go_cup_4_3,0.06724969801812411
bowl_6_7,0.129318022793726
bowl_10_10,0.07606612776734745
plate_8_2,0.1978215050244309
sponge_5_7,0.5501885850321176
metal_box_9_4,0.1078163962501271
metal_box_7_6,0.05754106209577147
metal_box_10_7,0.2093960884310196
cup_9_3,0.1119701665212471
book_8_10,0.4207450279274764
bowl_2_9,0.1160503400648871
sponge_5_5,0.5503122100963711
plastic_box_10_6,0.3613563054769512
sponge_4_10,0.4447620306259245
metal_box_3_7,0.1417964711660111
plastic_box_8_2,0.2047724002018743
